Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
664,453.73,852.72,1.76,25.91,1.51,79.98
669,452.63,848.7,1.75,25.92,1.5,79.98
669,451.59,848.71,1.75,25.82,1.49,80.0
674,451.33,845.78,1.75,25.93,1.49,79.97
677,447.0,846.08,1.74,25.89,1.48,79.97
660,452.77,856.44,1.76,25.84,1.52,79.98
668,452.94,849.67,1.76,25.91,1.5,79.98
668,450.88,850.5,1.75,25.92,1.5,79.99
666,452.36,850.79,1.76,25.9,1.5,80.0
665,454.47,851.11,1.76,25.86,1.5,79.99
662,453.41,853.46,1.76,25.88,1.51,79.99
661,452.85,855.09,1.76,25.87,1.51,80.0
670,454.53,846.33,1.76,25.89,1.49,79.99
670,448.1,851.1,1.75,25.9,1.49,79.98
668,452.59,849.43,1.75,25.9,1.5,79.98
665,447.15,855.41,1.75,25.79,1.51,79.98
664,456.44,850.71,1.76,25.91,1.51,79.99
669,451.67,848.27,1.75,25.87,1.49,80.0
667,452.67,850.55,1.76,25.86,1.5,79.98
665,450.23,853.94,1.75,25.87,1.51,79.98
674,445.72,849.14,1.74,25.88,1.49,79.98
669,454.52,846.75,1.76,25.88,1.49,80.0
671,447.3,850.21,1.74,25.82,1.49,79.99
671,448.47,849.44,1.75,25.8,1.49,80.0
672,445.75,850.88,1.74,25.92,1.49,79.98
674,443.16,850.97,1.74,25.89,1.49,79.98
674,444.35,850.4,1.74,25.86,1.49,79.98
664,454.17,852.0,1.76,25.9,1.51,79.98
675,450.96,845.12,1.75,25.88,1.48,79.97
676,449.55,844.75,1.74,25.91,1.48,79.97
678,444.61,846.82,1.74,25.86,1.48,79.98
671,447.96,849.42,1.75,25.91,1.49,80.0
669,448.9,850.8,1.75,25.89,1.5,79.99
665,454.05,850.99,1.76,25.86,1.5,79.99
677,449.32,843.98,1.74,25.83,1.48,79.97
668,452.97,848.84,1.75,25.88,1.5,80.0
665,453.05,851.14,1.76,25.87,1.5,80.0
667,455.73,848.17,1.76,25.85,1.5,79.99
660,448.83,859.18,1.76,25.83,1.52,79.97
669,452.75,849.46,1.75,25.81,1.5,79.97
665,448.26,854.75,1.75,25.91,1.5,79.99
668,453.15,849.27,1.76,25.87,1.5,79.99
670,445.89,852.6,1.74,25.87,1.49,79.99
669,448.4,851.63,1.75,25.9,1.5,79.97
676,449.07,844.16,1.74,25.88,1.48,79.99
667,454.46,848.76,1.76,25.86,1.5,79.99
669,448.43,851.27,1.75,25.94,1.5,79.99
668,453.7,848.17,1.76,25.94,1.5,80.0
670,446.71,851.75,1.75,25.92,1.49,79.99
672,447.57,848.83,1.74,25.91,1.49,80.0
674,448.67,847.0,1.74,25.91,1.49,79.98
665,452.61,851.69,1.76,25.9,1.5,79.99
670,447.25,851.21,1.75,25.87,1.49,79.99
670,448.95,850.09,1.75,25.93,1.49,79.99
667,448.86,853.32,1.75,25.92,1.5,79.97
658,453.62,858.08,1.77,25.93,1.52,79.97
671,448.39,849.82,1.75,25.85,1.49,79.99
669,449.84,850.28,1.75,25.94,1.5,79.98
662,451.48,855.49,1.76,25.86,1.51,79.99
672,457.11,843.69,1.76,25.88,1.49,79.97
666,448.95,853.59,1.75,25.9,1.5,79.98
668,454.28,848.96,1.76,25.83,1.5,79.97
670,446.86,851.72,1.75,25.81,1.49,79.98
664,454.2,851.55,1.76,25.93,1.51,79.99
679,447.69,843.29,1.74,25.85,1.47,80.0
672,447.13,849.71,1.74,25.86,1.49,79.99
659,456.46,854.63,1.77,25.85,1.52,79.98
669,445.25,853.04,1.74,25.88,1.5,79.99
670,446.43,851.91,1.74,25.86,1.49,79.98
677,443.89,847.44,1.74,25.85,1.48,79.99
667,454.96,849.59,1.76,25.87,1.5,79.97
667,452.29,850.81,1.76,25.88,1.5,79.99
671,446.38,850.64,1.74,25.85,1.49,80.0
666,451.74,852.3,1.76,25.89,1.5,79.98
673,447.18,849.45,1.74,25.9,1.49,79.97
668,447.46,852.57,1.75,25.86,1.5,79.99
671,453.74,846.96,1.75,25.93,1.49,79.96
669,448.0,851.27,1.75,25.89,1.5,80.0
666,451.58,851.85,1.76,25.84,1.5,79.99
