Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
4441,450.04,201.52,1.1,25.58,0.23,80.0
4441,451.22,200.89,1.1,25.54,0.23,80.0
4445,452.36,200.44,1.11,25.56,0.23,80.0
4492,450.01,199.28,1.1,25.56,0.22,80.0
4486,451.77,199.35,1.1,25.54,0.22,79.99
4503,452.1,198.38,1.1,25.54,0.22,80.0
4510,449.36,198.99,1.1,25.55,0.22,80.0
4469,449.85,200.58,1.1,25.53,0.22,80.0
4462,450.13,200.56,1.1,25.56,0.22,80.0
4453,450.77,200.68,1.1,25.55,0.22,80.0
4482,450.04,199.67,1.1,25.55,0.22,80.0
4469,451.14,200.06,1.1,25.56,0.22,80.0
4491,449.74,199.6,1.1,25.54,0.22,80.0
4469,450.74,200.01,1.1,25.57,0.22,80.0
4472,448.58,200.79,1.1,25.55,0.22,80.0
4468,449.42,200.63,1.1,25.56,0.22,80.0
4445,450.24,201.19,1.1,25.56,0.22,80.0
4468,448.18,200.92,1.1,25.52,0.22,80.0
4499,449.0,199.45,1.1,25.57,0.22,80.0
4479,449.22,200.04,1.1,25.54,0.22,80.0
4477,450.12,200.12,1.1,25.57,0.22,80.0
4510,449.37,198.81,1.1,25.58,0.22,80.0
4453,450.71,200.86,1.1,25.56,0.22,80.0
4473,449.68,200.36,1.1,25.55,0.22,80.0
4462,449.77,200.76,1.1,25.53,0.22,80.0
4464,451.89,199.98,1.1,25.57,0.22,80.0
4491,448.6,199.96,1.1,25.54,0.22,80.0
4509,448.36,199.35,1.1,25.55,0.22,80.0
4468,450.73,200.17,1.1,25.56,0.22,80.0
4440,452.34,200.83,1.11,25.54,0.23,80.0
4499,451.19,198.87,1.1,25.53,0.22,80.0
4449,451.09,200.81,1.1,25.57,0.22,80.0
4477,449.7,200.26,1.1,25.54,0.22,80.0
4454,449.97,200.9,1.1,25.53,0.22,80.0
4473,448.74,200.67,1.1,25.52,0.22,80.0
4454,451.37,200.61,1.1,25.56,0.22,80.0
4474,449.23,200.31,1.1,25.57,0.22,80.0
4509,447.92,199.57,1.1,25.52,0.22,80.0
4457,451.38,200.39,1.1,25.52,0.22,80.0
4490,449.81,199.8,1.1,25.55,0.22,80.0
4457,451.65,200.26,1.1,25.54,0.22,80.0
4464,449.16,200.86,1.1,25.56,0.22,80.0
4492,450.22,199.38,1.1,25.57,0.22,80.0
