Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
1110,100.45,850.3,1.05,25.55,0.9,80.0
1121,99.24,846.71,1.05,25.53,0.89,79.99
1109,100.5,850.4,1.05,25.52,0.9,80.0
1112,102.4,847.39,1.05,25.53,0.9,79.99
1113,100.67,849.11,1.05,25.5,0.9,79.98
1120,99.18,847.42,1.05,25.57,0.89,79.98
1107,100.55,851.69,1.05,25.57,0.9,79.99
1107,99.86,851.92,1.05,25.52,0.9,80.0
1108,99.56,851.73,1.05,25.51,0.9,79.99
1123,99.01,846.51,1.04,25.53,0.89,79.98
1113,100.33,848.95,1.05,25.48,0.9,80.0
1110,100.83,849.87,1.05,25.56,0.9,79.99
1114,100.26,848.95,1.05,25.58,0.9,79.98
1107,100.64,851.63,1.05,25.55,0.9,79.99
1116,99.82,848.34,1.05,25.52,0.9,79.99
1117,101.87,846.2,1.05,25.53,0.9,80.0
1118,100.09,847.13,1.05,25.51,0.9,79.99
1102,98.48,855.3,1.05,25.59,0.91,80.0
1111,100.66,849.74,1.05,25.55,0.9,79.99
1112,99.79,850.23,1.05,25.53,0.9,79.98
1118,99.72,847.32,1.05,25.5,0.89,79.99
1111,98.75,851.37,1.05,25.48,0.9,79.99
1102,100.41,853.86,1.05,25.52,0.91,79.99
1121,98.69,847.28,1.04,25.5,0.89,79.99
1110,100.4,849.98,1.05,25.55,0.9,80.0
1112,99.02,850.89,1.05,25.56,0.9,79.98
1109,99.25,851.81,1.05,25.48,0.9,79.99
1111,99.72,850.28,1.05,25.54,0.9,80.0
1109,100.69,850.34,1.05,25.57,0.9,80.0
1122,99.68,845.67,1.05,25.61,0.89,80.0
1115,99.86,848.94,1.05,25.57,0.9,79.99
1115,99.07,849.27,1.05,25.56,0.9,80.0
1110,98.92,851.53,1.05,25.52,0.9,79.99
1113,98.39,850.94,1.05,25.53,0.9,79.99
1106,99.22,853.18,1.05,25.51,0.9,79.99
1114,99.58,849.48,1.05,25.53,0.9,79.99
1109,99.72,851.03,1.05,25.51,0.9,80.0
1125,99.68,844.49,1.04,25.51,0.89,80.0
1117,100.14,847.2,1.05,25.58,0.9,80.0
1116,99.62,848.39,1.05,25.52,0.9,79.99
1113,100.07,849.36,1.05,25.49,0.9,79.99
1116,99.22,848.76,1.05,25.54,0.9,80.0
1108,100.76,850.56,1.05,25.56,0.9,80.0
1112,100.13,849.54,1.05,25.52,0.9,80.0
1116,100.43,848.02,1.05,25.48,0.9,79.98
1115,101.4,847.25,1.05,25.54,0.9,79.99
1107,100.1,851.56,1.05,25.52,0.9,80.0
1104,99.5,853.81,1.05,25.52,0.91,79.98
1122,99.51,846.17,1.05,25.52,0.89,79.99
1110,101.4,849.78,1.05,25.55,0.9,79.99
1109,99.44,851.54,1.05,25.5,0.9,79.99
1101,100.7,853.82,1.06,25.48,0.91,79.99
1114,98.44,850.36,1.05,25.59,0.9,79.99
1104,101.23,852.11,1.05,25.54,0.91,79.99
1113,98.25,851.06,1.05,25.54,0.9,79.99
1115,99.64,848.77,1.05,25.56,0.9,79.99
1107,99.63,852.08,1.05,25.54,0.9,79.99
1096,101.74,855.08,1.06,25.54,0.91,79.99
1118,101.09,846.59,1.05,25.51,0.9,79.99
1111,100.37,850.01,1.05,25.54,0.9,80.0
1117,100.05,847.39,1.05,25.53,0.9,80.0
1116,99.53,848.47,1.05,25.44,0.9,80.0
1103,101.85,852.21,1.06,25.55,0.91,79.98
1118,100.15,847.39,1.05,25.5,0.9,79.99
1102,101.11,853.01,1.06,25.53,0.91,80.0
1108,100.78,851.06,1.05,25.48,0.9,79.99
1115,99.18,849.33,1.05,25.53,0.9,79.99
1116,98.9,849.36,1.05,25.48,0.9,79.99
1104,99.25,853.8,1.05,25.52,0.91,80.0
1105,100.76,851.93,1.05,25.52,0.91,80.0
1119,99.64,847.26,1.05,25.48,0.89,79.98
1112,100.21,849.76,1.05,25.54,0.9,79.99
1111,99.02,850.98,1.05,25.51,0.9,80.0
1112,99.53,850.35,1.05,25.54,0.9,79.98
1113,99.58,849.68,1.05,25.58,0.9,80.0
1110,99.88,850.55,1.05,25.58,0.9,80.0
1117,99.8,847.81,1.05,25.5,0.9,79.99
1124,99.3,845.61,1.04,25.5,0.89,79.98
1112,100.79,848.86,1.05,25.5,0.9,80.0
1118,100.94,846.2,1.05,25.49,0.89,80.0
1123,99.84,845.42,1.05,25.6,0.89,79.98
1121,99.27,846.69,1.05,25.5,0.89,79.99
1116,98.14,849.73,1.05,25.52,0.9,79.99
1113,100.05,849.71,1.05,25.55,0.9,79.98
