Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
8677,225.08,175.95,0.63,25.31,0.12,80.0
8641,225.45,176.0,0.63,25.32,0.12,80.0
8754,226.36,174.14,0.63,25.32,0.11,80.0
8703,225.54,174.86,0.63,25.3,0.11,80.0
8728,225.17,174.68,0.63,25.33,0.11,80.0
8648,226.71,175.45,0.63,25.3,0.12,80.0
8713,224.03,175.71,0.62,25.33,0.11,80.0
8767,224.65,174.25,0.62,25.32,0.11,80.0
8752,226.2,174.38,0.63,25.33,0.11,80.0
8729,224.28,175.32,0.62,25.33,0.11,80.0
8635,227.11,175.44,0.63,25.32,0.12,80.0
8784,225.91,173.55,0.63,25.32,0.11,80.0
8675,224.26,176.05,0.62,25.31,0.12,80.0
8746,224.0,175.11,0.62,25.32,0.11,80.0
8678,225.95,175.37,0.63,25.32,0.12,80.0
8718,224.79,175.56,0.63,25.31,0.11,80.0
8707,226.73,174.26,0.63,25.3,0.11,80.0
8761,224.74,174.75,0.62,25.31,0.11,80.0
8733,226.79,174.54,0.63,25.33,0.11,80.0
8801,225.31,173.6,0.62,25.31,0.11,80.0
8629,226.42,176.03,0.63,25.32,0.12,80.0
8751,224.44,174.72,0.62,25.32,0.11,80.0
8673,224.4,176.12,0.62,25.3,0.12,80.0
8740,225.29,174.55,0.63,25.3,0.11,80.0
8713,223.94,175.56,0.62,25.3,0.11,80.0
8746,224.93,174.7,0.62,25.32,0.11,80.0
8728,225.44,174.55,0.63,25.31,0.11,80.0
8747,223.89,174.92,0.62,25.31,0.11,80.0
8739,225.03,174.86,0.62,25.3,0.11,80.0
8686,224.47,175.79,0.62,25.32,0.12,80.0
8762,223.46,175.34,0.62,25.31,0.11,79.99
8684,225.39,175.42,0.63,25.32,0.12,80.0
8809,223.86,173.96,0.62,25.31,0.11,80.0
8815,224.12,174.11,0.62,25.29,0.11,80.0
8781,223.31,174.73,0.62,25.32,0.11,80.0
8706,224.96,175.85,0.63,25.3,0.11,80.0
8830,224.09,173.62,0.62,25.33,0.11,80.0
8791,221.8,174.97,0.62,25.29,0.11,80.0
8824,224.95,173.62,0.62,25.3,0.11,80.0
8650,225.05,176.14,0.63,25.33,0.12,80.0
8731,225.13,174.92,0.63,25.32,0.11,80.0
8699,224.85,175.45,0.63,25.32,0.11,80.0
8825,224.33,173.76,0.62,25.32,0.11,80.0
8746,224.07,175.1,0.62,25.3,0.11,80.0
8673,226.07,175.31,0.63,25.31,0.12,80.0
8680,225.0,175.47,0.63,25.32,0.12,80.0
8648,226.0,175.64,0.63,25.31,0.12,80.0
8688,226.28,175.19,0.63,25.31,0.12,80.0
8658,225.5,175.58,0.63,25.31,0.12,80.0
8716,226.73,174.19,0.63,25.32,0.11,80.0
8685,224.08,175.88,0.62,25.31,0.12,80.0
8809,225.85,173.58,0.63,25.32,0.11,80.0
8687,224.26,175.89,0.62,25.3,0.12,80.0
8731,225.34,174.95,0.63,25.31,0.11,80.0
8669,226.57,175.25,0.63,25.31,0.12,80.0
8781,224.23,174.53,0.62,25.31,0.11,80.0
8763,225.69,174.1,0.63,25.33,0.11,80.0
8731,226.48,174.08,0.63,25.29,0.11,80.0
8699,225.85,175.04,0.63,25.32,0.11,80.0
8745,222.9,175.51,0.62,25.32,0.11,80.0
8767,224.89,174.63,0.62,25.3,0.11,80.0
8647,225.22,176.2,0.63,25.3,0.12,80.0
8739,224.06,175.26,0.62,25.32,0.11,80.0
8827,225.3,173.44,0.62,25.31,0.11,80.0
8708,224.38,175.44,0.62,25.3,0.11,80.0
8816,222.29,174.65,0.62,25.32,0.11,80.0
8675,225.37,175.71,0.63,25.32,0.12,80.0
8612,224.46,177.06,0.63,25.33,0.12,80.0
8606,225.4,176.53,0.63,25.31,0.12,80.0
8663,225.63,176.05,0.63,25.32,0.12,80.0
8681,225.7,175.41,0.63,25.3,0.12,80.0
8850,224.38,173.33,0.62,25.33,0.11,80.0
8738,224.04,175.26,0.62,25.31,0.11,80.0
8784,224.65,174.38,0.62,25.31,0.11,80.0
8739,224.56,175.24,0.62,25.32,0.11,80.0
8709,224.07,175.66,0.62,25.31,0.11,80.0
8718,225.68,174.71,0.63,25.31,0.11,80.0
8845,225.09,173.2,0.62,25.32,0.11,80.0
8757,226.0,174.15,0.63,25.33,0.11,80.0
8721,225.2,175.22,0.63,25.31,0.11,80.0
8780,225.28,174.32,0.62,25.32,0.11,80.0
8770,224.06,174.87,0.62,25.33,0.11,80.0
8759,225.24,174.77,0.63,25.33,0.11,80.0
8811,224.34,173.88,0.62,25.29,0.11,80.0
