Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
3170,802.19,174.29,1.78,25.92,0.32,80.0
3132,800.49,176.93,1.78,25.92,0.32,80.0
3150,802.22,175.28,1.78,25.9,0.32,80.0
3168,796.52,175.55,1.77,25.88,0.32,80.0
3175,800.49,174.75,1.78,25.93,0.31,80.0
3140,802.59,175.67,1.78,25.88,0.32,79.99
3179,801.47,173.7,1.78,25.91,0.31,80.0
3184,801.36,174.3,1.78,25.9,0.31,79.99
3186,799.64,173.95,1.77,25.89,0.31,79.99
3155,799.26,175.59,1.77,25.88,0.32,80.0
3169,799.33,174.95,1.77,25.87,0.32,80.0
3193,802.27,173.08,1.78,25.92,0.31,80.0
3182,803.03,173.58,1.78,25.87,0.31,80.0
3207,801.38,172.84,1.78,25.86,0.31,80.0
3129,801.72,176.56,1.78,25.94,0.32,80.0
3136,797.78,177.02,1.77,25.89,0.32,80.0
3134,803.55,175.98,1.78,25.88,0.32,80.0
3210,799.19,172.85,1.77,25.88,0.31,80.0
3159,799.84,175.33,1.78,25.88,0.32,80.0
3175,801.0,174.29,1.78,25.88,0.31,80.0
3183,799.73,174.22,1.77,25.89,0.31,79.99
3133,798.63,176.73,1.77,25.86,0.32,80.0
3202,797.48,173.91,1.77,25.88,0.31,80.0
3162,802.82,174.62,1.78,25.9,0.32,80.0
3163,801.82,174.81,1.78,25.88,0.32,80.0
3143,800.13,176.17,1.78,25.87,0.32,80.0
3148,798.65,175.99,1.77,25.85,0.32,79.99
3131,801.92,176.6,1.78,25.91,0.32,80.0
3160,800.53,175.31,1.78,25.92,0.32,80.0
3208,799.48,173.02,1.77,25.89,0.31,80.0
3162,802.27,174.8,1.78,25.91,0.32,79.99
3168,800.54,174.48,1.78,25.91,0.32,80.0
3142,798.21,176.87,1.77,25.88,0.32,79.99
3159,799.26,175.58,1.77,25.88,0.32,79.99
3146,799.04,176.29,1.77,25.86,0.32,80.0
3131,803.11,176.14,1.78,25.88,0.32,80.0
3153,800.57,175.57,1.78,25.88,0.32,80.0
3170,799.12,175.02,1.77,25.92,0.32,80.0
3139,799.13,176.53,1.77,25.85,0.32,80.0
3174,798.14,175.16,1.77,25.86,0.32,79.99
3145,800.75,176.09,1.78,25.88,0.32,80.0
3177,799.09,174.59,1.77,25.9,0.31,80.0
3141,802.42,175.78,1.78,25.9,0.32,80.0
