Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
1084,795.68,862516,448.85,486551,2.04,26.08,0.92,79.99
1085,802.92,871173,446.1,484015,2.05,25.99,0.92,79.99
1085,795.04,862617,449.02,487190,2.04,26.01,0.92,79.99
1075,799.32,859274,450.61,484403,2.05,26.0,0.93,79.99
1058,800.39,846816,455.76,482191,2.06,26.02,0.95,80.0
1066,799.89,852678,453.55,483481,2.05,26.06,0.94,79.99
1072,802.1,859853,450.4,482826,2.05,26.09,0.93,79.99
1073,799.91,858309,450.82,483731,2.05,26.03,0.93,79.99
1072,800.18,857793,451.12,483605,2.05,25.99,0.93,79.98
1077,797.95,859396,450.92,485637,2.05,26.0,0.93,79.98
1080,801.02,865099,448.06,483899,2.05,25.99,0.93,79.98
1081,796.9,861450,449.33,485726,2.04,26.02,0.93,80.0
1079,799.28,862421,448.95,484422,2.05,25.99,0.93,79.98
1084,801.48,868809,446.34,483838,2.05,26.0,0.92,79.99
1064,803.87,855313,452.86,481845,2.06,26.04,0.94,79.99
1070,799.84,855834,452.28,483941,2.05,26.02,0.94,79.99
1069,801.53,856840,451.57,482729,2.05,26.03,0.94,79.99
1077,802.44,864232,448.77,483320,2.05,26.02,0.93,79.99
1070,802.74,858930,451.12,482700,2.06,26.03,0.93,80.0
1061,804.51,853587,453.39,481043,2.06,26.0,0.94,79.99
1075,802.62,862818,449.24,482929,2.05,26.0,0.93,80.0
1077,798.04,859491,450.27,484944,2.05,26.02,0.93,80.0
1078,798.47,860750,449.35,484403,2.05,26.05,0.93,79.99
1067,807.88,862011,450.41,480592,2.07,25.99,0.94,79.99
1060,793.84,841472,457.63,485091,2.05,26.04,0.94,79.99
1082,797.49,862881,448.79,485592,2.04,25.93,0.93,79.98
1082,792.47,857456,450.69,487644,2.04,26.04,0.92,79.99
1081,797.93,862566,448.86,485221,2.04,26.01,0.93,79.99
1074,798.88,857996,450.74,484091,2.05,26.05,0.93,79.99
1076,800.44,861276,449.8,483982,2.05,26.02,0.93,79.99
1078,800.98,863460,448.71,483707,2.05,26.04,0.93,79.98
1075,801.32,861414,449.98,483725,2.05,26.04,0.93,79.98
1071,803.47,860521,450.06,482014,2.06,26.02,0.93,79.99
1082,799.43,864982,448.21,484958,2.05,26.04,0.92,79.99
1100,792.36,871601,444.85,489337,2.03,26.02,0.91,79.98
1074,799.88,859067,451.03,484402,2.05,26.0,0.93,79.99
1084,799.86,867048,447.57,485165,2.05,26.03,0.92,79.99
1065,804.1,856368,452.33,481731,2.06,26.04,0.94,79.99
1068,802.68,857266,451.73,482449,2.06,26.08,0.94,79.99
1069,801.48,856786,452.03,483221,2.05,26.06,0.94,79.99
1050,803.62,843803,457.52,480392,2.06,26.03,0.95,79.99
1058,801.42,847902,455.95,482392,2.06,25.97,0.95,80.0
1070,799.86,855854,451.87,483503,2.05,26.02,0.93,79.99
1077,799.09,860617,450.04,484692,2.05,25.99,0.93,79.99
1080,803.37,867642,447.33,483116,2.05,26.03,0.93,79.98
1078,798.3,860563,449.96,485053,2.05,26.04,0.93,79.99
1067,800.93,854595,452.65,482979,2.05,26.01,0.94,80.0
1069,799.26,854410,452.56,483791,2.05,26.05,0.94,79.99
1080,798.11,861954,448.85,484754,2.05,26.04,0.93,80.0
1075,801.75,861881,449.53,483247,2.05,26.03,0.93,80.0
1080,800.69,864745,448.03,483869,2.05,26.01,0.93,80.0
1070,804.74,861070,450.72,482267,2.06,26.0,0.94,79.98
1079,798.64,861732,449.05,484527,2.05,25.99,0.93,80.0
1073,795.98,854082,452.35,485370,2.04,26.13,0.93,80.0
1068,801.92,856447,452.13,482876,2.06,26.02,0.94,79.99
1075,806.56,867049,447.94,481538,2.06,26.01,0.93,80.0
1076,801.73,862665,449.31,483461,2.05,26.0,0.93,80.0
1093,796.12,870156,445.69,487137,2.04,26.01,0.92,79.99
1080,797.57,861373,449.62,485595,2.04,26.0,0.93,79.99
1086,794.21,862508,448.42,486988,2.04,26.04,0.92,79.98
1076,802.22,863191,449.08,483210,2.05,26.03,0.93,79.99
1060,803.36,851564,454.46,481727,2.06,26.03,0.94,80.0
1083,802.87,869512,446.16,483196,2.05,26.09,0.92,80.0
1071,801.54,858448,451.3,483343,2.05,25.97,0.93,79.98
1070,799.85,855834,451.84,483471,2.05,26.05,0.94,79.98
1066,799.98,852781,453.24,483156,2.05,26.03,0.94,79.99
1085,797.24,865000,447.43,485462,2.04,26.02,0.92,80.0
1074,799.09,858222,451.03,484407,2.05,26.03,0.93,79.99
1078,793.34,855220,451.89,487135,2.04,26.0,0.93,80.0
1080,801.52,865646,448.61,484498,2.05,26.03,0.93,79.99
1072,797.29,854694,452.5,485085,2.05,26.0,0.93,79.98
1076,801.17,862061,449.26,483398,2.05,26.01,0.93,79.99
1081,799.7,864472,448.55,484882,2.05,25.99,0.93,79.99
1064,802.54,853902,453.31,482327,2.06,25.96,0.94,79.98
1080,805.84,870309,446.62,482348,2.06,26.03,0.93,79.99
1072,796.97,854356,452.6,485186,2.05,26.03,0.93,80.0
1062,805.98,855953,452.45,480499,2.06,26.06,0.94,79.99
1060,802.23,850360,454.82,482109,2.06,25.99,0.94,79.98
1069,802.41,857775,451.45,482604,2.06,25.95,0.94,79.99
1079,798.17,861224,449.67,485190,2.05,26.03,0.93,79.99
1089,795.54,866345,446.97,486748,2.04,26.04,0.92,79.98
1066,807.99,861314,450.62,480358,2.07,26.06,0.94,79.98
1085,797.13,864886,448.08,486164,2.04,26.03,0.92,79.99
1087,799.68,869250,446.57,485417,2.05,26.06,0.92,79.98
1070,800.84,856897,451.79,483418,2.05,26.03,0.93,80.0
