Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
3184,802.81,2556153,173.53,552523,1.78,25.88,0.31,79.99
3178,800.46,2543862,174.47,554464,1.78,25.91,0.31,80.0
3207,798.99,2562363,173.23,555541,1.77,25.92,0.31,79.99
3216,798.71,2568663,172.81,555752,1.77,25.88,0.31,79.99
3141,798.71,2508752,176.6,554716,1.77,25.88,0.32,80.0
3182,799.86,2545157,174.36,554828,1.77,25.89,0.31,80.0
3173,796.81,2528283,175.06,555467,1.77,25.89,0.32,79.99
3142,801.22,2517444,176.15,553463,1.78,25.93,0.32,80.0
3112,799.53,2488153,177.78,553266,1.78,25.84,0.32,80.0
3180,799.64,2542840,174.11,553675,1.77,25.92,0.31,79.99
3114,799.61,2489975,177.58,552974,1.78,25.87,0.32,80.0
3146,796.19,2504815,177.02,556915,1.77,25.87,0.32,79.99
3143,804.23,2527684,175.39,551266,1.78,25.89,0.32,80.0
3148,799.83,2517871,176.14,554501,1.78,25.9,0.32,79.99
3159,803.7,2538880,174.9,552505,1.78,25.92,0.32,80.0
3127,798.5,2496903,177.24,554215,1.77,25.91,0.32,79.99
3162,797.26,2520933,175.88,556120,1.77,25.87,0.32,80.0
3136,799.44,2507039,176.7,554132,1.78,25.88,0.32,79.99
3152,801.32,2525771,175.44,553001,1.78,25.92,0.32,79.99
3137,799.95,2509447,176.22,552817,1.78,25.89,0.32,80.0
3186,800.1,2549132,174.27,555211,1.77,25.87,0.31,80.0
3164,800.43,2532573,175.22,554394,1.78,25.88,0.32,80.0
3186,800.64,2550847,174.12,554759,1.78,25.88,0.31,79.99
3192,798.47,2548723,174.16,555923,1.77,25.85,0.31,79.99
3163,799.25,2528043,175.41,554823,1.77,25.91,0.32,80.0
3168,799.58,2533061,174.76,553640,1.77,25.91,0.32,80.0
3175,797.04,2530589,175.32,556631,1.77,25.92,0.32,79.99
3144,803.44,2526027,175.43,551564,1.78,25.87,0.32,80.0
3149,803.23,2529385,175.41,552360,1.78,25.9,0.32,80.0
3132,799.51,2504075,176.84,553860,1.78,25.9,0.32,79.99
3159,799.05,2524195,175.33,553873,1.77,25.89,0.32,79.99
3208,796.05,2553731,173.34,556061,1.77,25.87,0.31,79.99
3177,802.68,2550126,173.84,552304,1.78,25.87,0.31,80.0
3177,798.74,2537607,174.79,555294,1.77,25.9,0.31,80.0
3186,802.23,2555892,173.45,552600,1.78,25.86,0.31,80.0
3207,801.56,2570600,172.61,553573,1.78,25.89,0.31,79.99
3166,798.33,2527501,175.38,555254,1.77,25.86,0.32,79.99
3180,800.9,2546859,174.06,553510,1.78,25.83,0.31,80.0
3172,802.73,2546245,174.35,553045,1.78,25.94,0.32,79.99
3201,800.43,2562192,173.24,554533,1.77,25.89,0.31,80.0
3174,798.22,2533555,174.49,553819,1.77,25.91,0.32,80.0
3147,798.36,2512450,176.21,554540,1.77,25.89,0.32,80.0
3174,799.15,2536511,174.92,555193,1.77,25.88,0.32,80.0
3181,797.23,2535994,174.68,555660,1.77,25.87,0.31,79.99
3168,797.34,2525964,175.64,556424,1.77,25.86,0.32,79.99
3149,800.2,2519832,175.98,554173,1.78,25.88,0.32,80.0
3161,799.38,2526832,175.44,554574,1.77,25.9,0.32,80.0
3205,796.7,2553408,174.0,557660,1.77,25.88,0.31,80.0
3185,798.4,2542902,174.25,554972,1.77,25.88,0.31,80.0
3182,803.15,2555614,173.63,552478,1.78,25.85,0.31,80.0
3157,800.59,2527460,175.35,553583,1.78,25.88,0.32,80.0
3159,798.7,2523082,175.58,554661,1.77,25.86,0.32,79.99
3180,804.12,2557117,173.6,552041,1.78,25.88,0.31,80.0
3168,801.69,2539754,174.16,551745,1.78,25.89,0.32,80.0
3189,797.62,2543624,174.42,556211,1.77,25.9,0.31,80.0
3124,800.08,2499435,176.82,552398,1.78,25.91,0.32,80.0
3132,800.2,2506232,176.69,553408,1.78,25.87,0.32,79.99
3179,799.69,2542226,174.34,554230,1.77,25.9,0.31,80.0
3168,798.43,2529436,175.03,554480,1.77,25.87,0.32,80.0
3178,799.11,2539573,174.78,555466,1.77,25.9,0.31,79.99
3144,800.11,2515539,176.05,553496,1.78,25.9,0.32,80.0
3148,799.62,2517202,176.14,554489,1.78,25.89,0.32,80.0
