Ciclo,peso_prom,peso_total,dist_prom,dist_total,corriente_prom,temp_prom,energia_consumida_prom,SOH%
3160,803.97,2540530,174.7,552065,1.78,25.9,0.32,80.0
3167,800.16,2534092,175.16,554746,1.78,25.91,0.32,80.0
3156,797.67,2517432,175.56,554057,1.77,25.87,0.32,80.0
3147,797.69,2510330,176.31,554854,1.77,25.91,0.32,80.0
3174,798.56,2534616,174.82,554883,1.77,25.87,0.32,80.0
3190,800.23,2552726,173.84,554557,1.77,25.91,0.31,79.99
3177,798.81,2537827,174.76,555218,1.77,25.92,0.31,80.0
3203,799.71,2561483,173.04,554239,1.77,25.89,0.31,80.0
3232,798.68,2581343,172.11,556245,1.77,25.9,0.31,80.0
3200,801.63,2565204,172.98,553524,1.78,25.88,0.31,80.0
3168,800.55,2536137,174.76,553637,1.78,25.85,0.32,80.0
3157,801.61,2530683,175.19,553070,1.78,25.87,0.32,79.99
3134,798.22,2501608,177.26,555518,1.77,25.89,0.32,79.99
3187,803.03,2559252,173.61,553307,1.78,25.88,0.31,80.0
3153,797.39,2514186,176.2,555551,1.77,25.88,0.32,80.0
3202,799.61,2560365,173.61,555906,1.77,25.88,0.31,80.0
3156,797.94,2518283,175.76,554688,1.77,25.89,0.32,79.99
3117,801.99,2499794,177.03,551793,1.78,25.93,0.32,79.99
3116,805.25,2509162,176.6,550284,1.79,25.87,0.32,79.99
3186,798.7,2544645,174.25,555161,1.77,25.9,0.31,79.99
3166,795.53,2518655,176.01,557262,1.77,25.91,0.32,80.0
3197,797.18,2548571,174.16,556801,1.77,25.86,0.31,80.0
3154,796.69,2512754,176.23,555826,1.77,25.86,0.32,80.0
3169,795.62,2521333,175.89,557384,1.77,25.88,0.32,80.0
3212,799.97,2569503,172.8,555026,1.77,25.91,0.31,79.99
3190,801.06,2555368,173.64,553903,1.78,25.89,0.31,80.0
3170,800.43,2537366,174.69,553783,1.78,25.86,0.32,80.0
3169,797.54,2527394,175.38,555789,1.77,25.9,0.32,79.99
3172,796.51,2526542,175.39,556332,1.77,25.87,0.32,80.0
3178,798.51,2537659,174.45,554387,1.77,25.88,0.31,79.99
3202,796.08,2549037,173.99,557106,1.77,25.85,0.31,80.0
3189,800.05,2551351,173.75,554082,1.77,25.88,0.31,80.0
3141,801.93,2518866,175.86,552381,1.78,25.88,0.32,80.0
3194,800.25,2555990,173.47,554065,1.77,25.91,0.31,80.0
3160,800.14,2528452,175.23,553712,1.78,25.86,0.32,80.0
3146,800.26,2517629,175.83,553169,1.78,25.89,0.32,79.99
3138,801.46,2514990,176.1,552592,1.78,25.89,0.32,80.0
3164,801.17,2534909,174.71,552792,1.78,25.87,0.32,80.0
3209,797.05,2557740,173.29,556086,1.77,25.87,0.31,80.0
3121,802.59,2504884,177.09,552708,1.78,25.91,0.32,80.0
3156,803.58,2536091,174.96,552184,1.78,25.9,0.32,79.99
3158,798.59,2521933,175.76,555037,1.77,25.88,0.32,79.99
3167,799.98,2533538,174.95,554062,1.77,25.92,0.32,79.99
3206,802.35,2572326,172.6,553362,1.78,25.89,0.31,80.0
3088,799.61,2469187,178.9,552457,1.78,25.89,0.32,80.0
3176,796.39,2529334,175.2,556426,1.77,25.92,0.31,79.99
3188,798.67,2546165,174.45,556158,1.77,25.86,0.31,79.99
3212,800.29,2570534,172.59,554343,1.77,25.89,0.31,80.0
3205,801.34,2568288,172.81,553848,1.78,25.88,0.31,79.99
3159,799.88,2526806,175.38,554039,1.78,25.86,0.32,79.99
3166,798.26,2527295,175.17,554586,1.77,25.9,0.32,80.0
3167,799.26,2531261,175.32,555228,1.77,25.89,0.32,80.0
3180,800.84,2546665,174.21,553981,1.78,25.88,0.31,79.99
3146,800.01,2516832,175.94,553510,1.78,25.89,0.32,80.0
3152,799.18,2519026,175.66,553688,1.77,25.89,0.32,80.0
3161,801.87,2534711,174.9,552844,1.78,25.89,0.32,80.0
3187,799.68,2548588,173.9,554205,1.77,25.89,0.31,80.0
3207,798.74,2561568,173.17,555355,1.77,25.92,0.31,79.99
3198,796.72,2547901,173.78,555762,1.77,25.89,0.31,80.0
3112,801.0,2492725,177.75,553147,1.78,25.89,0.32,80.0
3163,799.9,2530098,175.29,554439,1.78,25.88,0.32,80.0
3142,802.34,2520948,175.66,551928,1.78,25.9,0.32,79.99
3185,798.94,2544614,174.33,555234,1.77,25.89,0.31,80.0
3145,796.43,2504778,176.69,555699,1.77,25.9,0.32,80.0
3172,801.12,2541165,174.85,554629,1.78,25.87,0.32,79.99
3127,802.6,2509723,176.68,552491,1.78,25.9,0.32,80.0
3163,801.02,2533642,175.09,553800,1.78,25.89,0.32,80.0
3187,800.83,2552261,173.56,553138,1.78,25.87,0.31,80.0
3205,798.3,2558554,173.38,555683,1.77,25.88,0.31,80.0
3139,798.34,2505995,176.48,553968,1.77,25.91,0.32,80.0
3140,803.6,2523296,175.58,551322,1.78,25.87,0.32,80.0
3172,800.46,2539070,174.57,553721,1.78,25.88,0.32,80.0
3182,801.92,2551724,173.85,553188,1.78,25.89,0.31,80.0
3129,798.08,2497178,177.59,555667,1.77,25.91,0.32,80.0
3151,800.98,2523874,175.56,553181,1.78,25.89,0.32,80.0
3193,799.54,2552923,173.6,554304,1.77,25.88,0.31,80.0
3186,800.0,2548794,174.0,554380,1.77,25.86,0.31,80.0
3145,796.82,2505999,176.7,555718,1.77,25.85,0.32,80.0
3129,799.77,2502496,176.98,553759,1.78,25.9,0.32,79.99
3163,799.23,2527958,175.29,554438,1.77,25.86,0.32,80.0
3146,800.79,2519280,175.75,552916,1.78,25.9,0.32,79.99
3160,799.1,2525158,175.57,554801,1.77,25.88,0.32,80.0
3153,801.26,2526365,175.65,553816,1.78,25.86,0.32,79.99
3173,798.51,2533686,174.92,555020,1.77,25.86,0.32,80.0
3137,801.06,2512917,176.42,553445,1.78,25.9,0.32,80.0
3207,798.14,2559651,173.11,555150,1.77,25.88,0.31,79.99
3158,800.77,2528836,175.36,553797,1.78,25.91,0.32,79.99
3146,802.12,2523467,175.57,552345,1.78,25.89,0.32,79.99
3152,799.09,2518737,175.73,553896,1.77,25.91,0.32,79.99
3188,799.64,2549239,174.17,555248,1.77,25.9,0.31,80.0
3156,796.16,2512675,176.15,555931,1.77,25.9,0.32,80.0
3144,799.15,2512539,176.07,553571,1.77,25.86,0.32,80.0
3171,800.5,2538377,174.79,554267,1.78,25.88,0.32,79.99
3179,797.08,2533912,174.81,555726,1.77,25.87,0.31,80.0
3191,798.7,2548644,174.09,555532,1.77,25.88,0.31,80.0
3159,798.85,2523568,175.53,554501,1.77,25.88,0.32,80.0
3106,800.28,2485683,178.19,553470,1.78,25.91,0.32,79.99
3171,797.01,2527306,175.52,556579,1.77,25.85,0.32,80.0
3133,801.17,2510076,176.48,552925,1.78,25.92,0.32,80.0
3167,801.66,2538849,174.54,552754,1.78,25.86,0.32,79.99
3191,799.25,2550402,173.86,554775,1.77,25.9,0.31,79.99
3139,800.64,2513197,176.2,553107,1.78,25.89,0.32,79.99
3194,800.11,2555539,173.49,554137,1.77,25.87,0.31,80.0
3146,799.75,2515999,175.87,553290,1.78,25.87,0.32,80.0
3194,796.86,2545161,174.12,556143,1.77,25.89,0.31,79.99
3181,802.96,2554203,173.56,552082,1.78,25.89,0.31,79.99
3122,797.65,2490275,177.75,554922,1.77,25.91,0.32,79.99
3122,802.69,2505992,176.83,552074,1.78,25.91,0.32,80.0
3156,798.2,2519108,176.02,555515,1.77,25.87,0.32,79.99
3165,803.9,2544348,174.66,552814,1.78,25.92,0.32,80.0
3159,799.48,2525549,175.3,553783,1.77,25.9,0.32,80.0
3150,800.8,2522516,175.55,552981,1.78,25.87,0.32,80.0
3141,799.23,2510388,176.31,553786,1.77,25.87,0.32,79.99
3161,801.78,2534418,174.99,553150,1.78,25.89,0.32,79.99
3159,799.21,2524710,175.62,554784,1.77,25.88,0.32,80.0
3177,801.02,2544838,174.36,553949,1.78,25.87,0.31,79.99
3162,798.84,2525928,175.7,555563,1.77,25.87,0.32,80.0
3171,801.75,2542346,174.28,552639,1.78,25.88,0.32,80.0
3189,794.9,2534952,175.0,558062,1.76,25.88,0.31,80.0
3164,800.19,2531806,175.13,554123,1.78,25.91,0.32,79.99
3159,797.8,2520238,176.04,556113,1.77,25.91,0.32,80.0
3206,797.24,2555943,173.55,556386,1.77,25.86,0.31,79.99
3227,799.37,2579561,172.17,555580,1.77,25.9,0.31,80.0
3159,802.2,2534139,174.84,552306,1.78,25.89,0.32,80.0
3145,802.64,2524290,175.72,552642,1.78,25.86,0.32,80.0
3144,798.44,2510286,176.35,554456,1.77,25.89,0.32,80.0
3181,798.78,2540923,174.66,555592,1.77,25.91,0.31,80.0
3203,798.48,2557547,173.51,555765,1.77,25.89,0.31,80.0
3197,798.95,2554229,173.85,555801,1.77,25.88,0.31,80.0
3147,798.67,2513423,176.44,555249,1.77,25.88,0.32,79.99
3159,801.71,2532603,175.39,554071,1.78,25.87,0.32,80.0
3179,800.46,2544665,174.45,554592,1.78,25.9,0.31,80.0
3191,799.3,2550566,173.82,554670,1.77,25.89,0.31,79.99
3191,798.78,2548922,173.89,554898,1.77,25.89,0.31,80.0
3156,803.29,2535196,175.23,553023,1.78,25.85,0.32,80.0
3195,800.08,2556246,173.46,554195,1.77,25.91,0.31,79.99
3179,803.73,2555043,173.63,551962,1.78,25.92,0.31,80.0
3154,800.0,2523192,175.75,554301,1.78,25.89,0.32,80.0
