Ciclo,peso_prom,dist_prom,corriente_prom,temp_prom,energia_consumida_prom,SOH%
8736,224.4,175.09,0.62,25.31,0.11,80.0
8770,223.08,175.22,0.62,25.33,0.11,80.0
8783,223.93,174.82,0.62,25.32,0.11,80.0
8720,224.35,175.37,0.62,25.32,0.11,80.0
8675,225.07,175.76,0.63,25.33,0.12,80.0
8787,224.72,174.09,0.62,25.32,0.11,80.0
8710,223.67,175.87,0.62,25.31,0.11,80.0
8710,225.87,174.89,0.63,25.32,0.11,80.0
8678,224.91,175.67,0.63,25.32,0.12,80.0
8685,225.97,175.59,0.63,25.33,0.12,80.0
8747,223.23,175.0,0.62,25.29,0.11,80.0
8742,223.71,175.22,0.62,25.31,0.11,80.0
8734,226.96,174.42,0.63,25.34,0.11,80.0
8733,226.87,174.22,0.63,25.3,0.11,80.0
8785,224.11,174.4,0.62,25.31,0.11,80.0
8801,225.96,173.69,0.63,25.32,0.11,80.0
8746,224.05,175.46,0.62,25.31,0.11,80.0
8724,224.44,175.26,0.62,25.31,0.11,80.0
8745,224.28,175.26,0.62,25.3,0.11,80.0
8688,225.75,175.28,0.63,25.32,0.12,80.0
8666,225.53,175.81,0.63,25.3,0.12,80.0
8769,224.41,174.79,0.62,25.31,0.11,80.0
8691,225.52,175.2,0.63,25.31,0.12,80.0
8734,224.69,174.65,0.62,25.31,0.11,80.0
8709,226.07,174.73,0.63,25.31,0.11,80.0
8709,225.75,175.13,0.63,25.31,0.11,80.0
8683,225.24,175.36,0.63,25.34,0.12,80.0
8666,225.42,175.54,0.63,25.3,0.12,80.0
8755,224.93,174.95,0.62,25.31,0.11,80.0
8798,225.08,173.72,0.62,25.3,0.11,80.0
8737,224.11,175.32,0.62,25.3,0.11,80.0
8679,225.96,175.8,0.63,25.31,0.12,80.0
8774,224.28,174.57,0.62,25.31,0.11,80.0
8761,226.39,174.02,0.63,25.33,0.11,80.0
8814,223.79,174.03,0.62,25.32,0.11,80.0
8711,226.45,174.56,0.63,25.33,0.11,80.0
8752,227.1,174.03,0.63,25.31,0.11,80.0
8706,224.89,175.37,0.63,25.33,0.11,80.0
8723,225.66,174.92,0.63,25.32,0.11,80.0
8785,222.7,174.9,0.62,25.31,0.11,80.0
8751,223.36,175.41,0.62,25.31,0.11,80.0
8715,224.35,175.43,0.62,25.31,0.11,80.0
8767,225.45,174.35,0.63,25.3,0.11,80.0
8733,225.28,174.79,0.63,25.32,0.11,80.0
8710,225.41,175.02,0.63,25.32,0.11,80.0
8719,226.64,174.29,0.63,25.31,0.11,80.0
8738,224.56,174.87,0.62,25.32,0.11,80.0
8672,223.55,176.62,0.62,25.31,0.12,79.99
8760,224.18,175.34,0.62,25.32,0.11,80.0
8703,224.33,175.59,0.62,25.31,0.11,80.0
